ID,Term,Definition,Extended Notes,Type,Examples,Domain,Sensitivity Level,Misinterpretations,Reality,Related Terms,Tags
148,Longitudinal Check-ins,"Repeat check-ins over time that track changes in desire, wellbeing, communication, or relationship satisfaction rather than relying on a single snapshot.","Longitudinal check-ins help people notice trends (stress seasons, recovery, growth) and reduce overreacting to one bad week. They support accountability without surveillance when participation is voluntary and privacy-respecting. For global use, check-ins should allow flexible schedules and culturally appropriate language for emotions, intimacy, and partnership roles.",Practice & Skill,"Weekly ""how connected do we feel?"" check-in; Monthly review of boundaries, stress, and desired frequency; Tracking arousal brakes/accelerators across different life periods.",Relationship Dynamics & Intimacy,General,"Check-ins are controlling or transactional; If you track it, it becomes unromantic; Check-ins automatically fix problems; Trends are meaningless because people change.",It depends. It describes repeat check-ins over time.; Not necessarily. It describes repeat check-ins over time.; It depends. It’s about repeat check-ins over time.; Not necessarily. It describes repeat check-ins over time.,Feedback Loops; Relationship Satisfaction; Stress And Desire; Progressive Precision; Context-Sensitive Assessments,couples-tools; wellbeing-trends; relationship-dynamics-intimacy; practice-skill
149,Longitudinal Deltas,Quantified changes in a person’s scores or dimensions over time (the “delta” between check-ins).,"Deltas help distinguish temporary states (stress season, life change) from stable traits. In global products, deltas should be interpreted with context (life stage, health, relationship events) and communicated carefully so users don’t treat normal fluctuation as failure.",Metric & Measurement,Change in “sexual confidence” from last month; Shifts in arousal brakes during a high-stress period; Improvement in communication comfort after repeated check-ins.,Product & Assessment,General,Deltas prove the relationship is improving or failing; Any negative delta is bad; Deltas are comparable across users without context; Deltas remove the need for conversation.,It doesn’t guarantee outcomes. It’s one part of the picture.; Any negative delta isn’t always bad. Think of it as quantified changes in a person’s scores or dimensions over time.; That’s not always true. It’s about quantified changes in a person’s scores or dimensions over time.; Not necessarily. Think of it as quantified changes in a person’s scores or dimensions over time.,Longitudinal Check-ins; Context-Sensitive Assessments; Interpretive Depth; Feedback Loops,context-aware; wellbeing-trends; product-assessment; metric-measurement
150,Love Language,"A popular way to describe how people prefer to give and receive affection (e.g., words, time, touch, help, gifts).","Love language concepts can improve communication by turning vague needs into clear requests (“I need more touch” or “more quality time”). It’s not a clinical model and shouldn’t be used to stereotype or excuse unmet needs. Geo-friendly use means adapting examples to local norms (public affection, family roles, gift customs).",Framework & Model,One partner feels loved through acts of service; Another needs regular verbal appreciation; A couple negotiates touch and time as primary affection channels.,Relationship Dynamics & Intimacy,General,"Love languages are scientifically precise personality types; If you know love languages, conflict disappears; One love language is better than others; Love languages replace consent and boundaries.",It depends. It’s about a popular way to describe how people prefer to give and receive.; It depends. It describes a popular way to describe how people prefer to give and receive.; One love language isn’t always better than others.; Comfort and consent lead. Everything else follows.,Five Love Languages; Communication Style; Validation; Emotional Intimacy,relationship-communication; global-culture; relationship-dynamics-intimacy; framework-model
151,Low-Risk Orientation,"A sub-type indicating preference for predictability, gradual pacing, and clear agreements before trying new intimacy steps.","This style often thrives with structure, privacy, and explicit consent language. It can be culturally reinforced in communities that value modesty or discretion. Growth involves adding “safe novelty” without pressure, if desired.",Trait & Disposition,Prefers planned time and clear boundaries; Likes familiar routines; Needs trust before experimenting.,Relationship Dynamics & Intimacy,General,Low risk means low desire; Low risk is fear-based and unhealthy; Low risk partners are incompatible with anyone adventurous; Low risk eliminates the need for consent talk.,"Low-Risk Orientation doesn’t mean low desire. It’s about a sub-type indicating preference for predictability gradual pacing and clear agreements before.; Low risk isn’t always fear-based and unhealthy.; Difference isn’t automatic incompatibility. Many gaps improve with communication.; Consent is required. Without it, stop.",Risk Orientation; Routine Comfort; Consent Frameworks,relationship-dynamics-intimacy; trait-disposition
152,Match IQ,A summary indicator that reflects how well two people’s patterns align across key relational and sexual dimensions.,"Match IQ reflects multidimensional alignment rather than surface-level similarity. It is meant to guide understanding of compatibility strengths and tensions, not to rank or score people.",Product Artifact,High alignment in communication but differences in desire patterns; moderate overall alignment with strong emotional compatibility.,Product & Assessment,General,Higher Match IQ guarantees relationship success; lower Match IQ means incompatibility; Match IQ measures attraction or chemistry alone.,It depends. It’s about a summary indicator.; It doesn’t mean incompatibility. It describes a summary indicator.; Not necessarily. Think of it as a summary indicator.,Sexual Intelligence; Intimacy; Communication,assessment; product-assessment; product-artifact
153,Micro Quiz,A short set of focused questions designed to explore a specific topic or dimension.,Micro Quizzes are designed for quick engagement while still providing meaningful insight. They trade depth for accessibility and are often used as entry points rather than comprehensive assessments.,Product Artifact,A brief quiz on communication preferences; a short check-in on current emotional state; targeted questions about boundaries or desire.,Product & Assessment,General,Micro Quizzes provide complete assessments; answers should reflect ideal behavior; results are directly comparable to deep survey results.,Not necessarily. It describes a short set of focused questions designed to explore a specific topic.; Not necessarily. It describes a short set of focused questions designed to explore a specific topic.; Not necessarily. It describes a short set of focused questions designed to explore a specific topic.,Deep Survey; Growth Report; Sexual Intelligence,context; product-assessment; product-artifact
154,Mind-Led Arousal,"An arousal pattern where thoughts, imagination, anticipation, or fantasy typically activate desire before (or more than) physical touch does.","Mind-led arousal often responds strongly to narrative, novelty, teasing, and private mental space. It can be culturally shaped: in more conservative contexts, imagination may be a safer pathway than explicit action. Mind-led arousal is healthiest when paired with consent clarity—fantasy and desire cues should never pressure a partner.",Pattern & Dynamic,Getting turned on by fantasy or role-play ideas; Desire spikes with anticipation texts before a date; Arousal builds through mental imagery even before touch.,Desire & Arousal,Sensitive,"Mind-led means you don’t like real sex; If you fantasize, you must enact it; Mind-led arousal is “just porn”; Mental arousal equals consent.","Mind-Led Arousal doesn’t mean you don’t like real sex.; It depends. It’s about an arousal pattern where thoughts imagination anticipation or fantasy typically activate desire.; Mind-led arousal isn’t always “just porn”. It describes an arousal pattern where thoughts imagination anticipation or fantasy typically activate desire.; Consent is required. Without it, stop.",Fantasy Pull; Fantasy–Reality Congruence; Emotion-First Arousal; Consent Frameworks,imagination; anticipation; desire-arousal; pattern-dynamic
155,Mismatch Tolerance,"Mismatch Tolerance refers to the capacity to remain emotionally regulated and connected when differences in needs, preferences, or rhythms exist within a relationship.","Mismatch Tolerance describes how individuals experience and manage relational differences rather than whether mismatches occur. It is closely connected to Emotional Safety and Communication Patterns in Relationships, as tolerance is shaped by trust, flexibility, and repair. Within a relationship assessment platform, mismatch tolerance is inferred from reactions to unmet expectations, negotiation, and ongoing responsiveness. The concept helps explain compatibility dynamics by separating difference itself from distress or disconnection.",Trait & Disposition,Partners stay emotionally connected despite differing intimacy needs; A relationship report highlights calm responses to recurring preference gaps; Disagreements do not escalate into withdrawal or blame,Emotional & Attachment Patterns,General,Mismatch tolerance means suppressing personal needs; High mismatch tolerance indicates lack of standards; Mismatch tolerance guarantees long-term compatibility,Mismatch Tolerance doesn’t mean suppressing personal needs.; Not necessarily. It describes the capacity to remain emotionally regulated and connected when differences in needs.; Not necessarily. It describes the capacity to remain emotionally regulated and connected when differences in needs.,Emotional Safety; Compatibility Dynamics; Communication Patterns; Emotional Regulation,self-awareness; compatibility-dynamics; relationship-insights; emotional-safety; emotional-attachment-patterns; trait-disposition
156,Moderate-Risk Orientation,"A sub-type indicating comfort with some novelty and spontaneity while still valuing safety, consent, and clear limits.",This style often adapts well across life stages: playful experimentation with reliable repair and communication. It’s often the easiest to negotiate because both adventure and caution are available depending on context.,Trait & Disposition,Enjoys trying new ideas sometimes; Will explore with clear boundaries; Likes mixing routine with occasional novelty.,Relationship Dynamics & Intimacy,General,Moderate risk means indecisive; Moderate risk is “average” and unimportant; Moderate risk means your preferences don’t matter; Moderate risk guarantees compatibility.,Moderate-Risk Orientation doesn’t mean indecisive.; Moderate risk isn’t always “average” and unimportant.; It doesn’t mean your preferences don’t matter.; Not necessarily. It describes a sub-type indicating comfort with some novelty and spontaneity while still valuing.,Risk Orientation; Curiosity & Exploration Orientation; Consent Frameworks,relationship-dynamics-intimacy; trait-disposition
157,Monogamish,"A mostly monogamous relationship with limited, negotiated exceptions (often occasional sex outside the relationship).","“Monogamish” arrangements vary widely by culture and couple: some allow rare exceptions, some allow experiences together, and some allow specific contexts (travel, events). It works best when boundaries are explicit, consent is ongoing, and secrecy is avoided. Many couples use it to balance commitment with novelty needs.",Identity & Orientation,Occasional outside sex with clear rules; Threesomes with mutual consent; “Mostly exclusive” with pre-agreed exceptions.,Relationship Dynamics & Intimacy,Sensitive,Monogamish is just cheating with a nicer name; It means the relationship is failing; It removes the need for boundaries; Everyone can handle it emotionally if they agree once.,Monogamish isn’t always just cheating with a nicer name. It’s about a mostly monogamous relationship with limited negotiated exceptions.; It doesn’t mean the relationship is failing. It’s about a mostly monogamous relationship with limited negotiated exceptions.; Boundaries still apply. This doesn’t remove limits.; It depends. Think of it as a mostly monogamous relationship with limited negotiated exceptions.,Open Relationship; Consent Frameworks; Boundaries; Novelty; Jealousy Management,ethical-nonmonogamy; relationship-dynamics-intimacy; identity-orientation
158,Monogamy,A relationship agreement where partners commit to sexual and/or romantic exclusivity with each other.,"Monogamy can mean different things in different countries, communities, and life stages: some couples define it as sexual exclusivity, others include emotional exclusivity, and some renegotiate boundaries over time. The healthiest version is explicit and consent-based—partners clearly define what “exclusive” means to them (online flirting, porn, emotional intimacy, etc.).",Identity & Orientation,“Just us” sexually and romantically; Agreement to not date or sleep with others; Clear boundaries about flirting and intimacy with others.,Relationship Dynamics & Intimacy,General,Monogamy means never feeling attraction to others; Monogamy is automatically the most ethical option; Monogamy guarantees sexual satisfaction; Monogamy means you never need consent conversations.,It can change. Timing matters.; Monogamy isn’t always automatically the most ethical option.; It depends. It’s about a relationship agreement where partners commit to sexual and or romantic exclusivity.; Comfort and consent lead. Everything else follows.,Relationship Form Preference; Boundaries; Consent Frameworks; Silent (Assumed) Monogamy,global-relationships; monogamy; relationship-dynamics-intimacy; identity-orientation
159,Motivation for Sexuality,"The primary reasons someone seeks sexual connection, such as pleasure, bonding, stress relief, validation, novelty, or exploration.","Motivations are often layered and can shift across relationships and life stages. Differences in motivation can cause misunderstandings (for example, one partner seeks closeness while the other seeks relaxation). Naming motivations helps partners align expectations and choose activities that meet both people’s needs with consent and care.",Trait & Disposition,One partner wants sex to feel emotionally close while the other wants stress relief; Someone seeks novelty and play as a way to feel alive; A couple uses sex to reconnect after conflict but agrees on aftercare.,Pleasure & Sexual Wellbeing,Sensitive,"There is only one “healthy” motivation for sex; Wanting validation is always manipulative; Motivation should be obvious to partners; If motivations differ, sex will never work.",There isn’t always only one “healthy” motivation for sex.; It can change. Timing matters.; Not necessarily. Think of it as the primary reasons someone seeks sexual connection such as pleasure bonding stress.; It isn’t fixed. Context matters.,Emotional Intimacy; Validation Need; Stress And Desire; Aftercare; Desire; Sexual Needs,bonding; libido-context; validation; pleasure-sexual-wellbeing; trait-disposition
160,Neural Plasticity,"The brain’s capacity to change through learning and experience, allowing sexual response patterns, preferences, and emotional associations to evolve over time.","Plasticity is why education, new relational experiences, and therapy can shift desire and reduce old brakes, though change often requires repetition and safety. It also explains why repeated exposure to certain cues (including media) can shape arousal templates. The concept supports a growth mindset without blaming people for having learned patterns in the first place.",Data & Research Method,A couple builds new positive associations by slowing down and communicating what feels good; Someone’s arousal patterns shift after a major life transition; Practicing consent check-ins makes intimacy feel safer and more enjoyable.,Pleasure & Sexual Wellbeing,General,"Plasticity means you can force yourself to like anything; If patterns can change, boundaries don’t matter; Change should be quick if you “try hard”; Plasticity is the same as willpower.",Neural Plasticity doesn’t mean you can force yourself to like anything.; Boundaries still apply. This doesn’t remove limits.; That’s not always true. Think of it as the brain’s capacity to change through learning and experience allowing sexual response.; It isn’t willpower. It’s about the brain’s capacity to change through learning and experience allowing sexual response.,Psychological Software; Somatic Integration; Desire Cues; Arousal Map; Stress And Desire,habit-change; sexual-growth; conditioned-arousal; intimacy-skills; pleasure-sexual-wellbeing; data-research-method
161,Neurochemical “Big Three” (dopamine / oxytocin-vasopressin / endogenous opioids),"A shorthand for three neurochemical systems often linked to sexual motivation and reward (dopamine), bonding and attachment (oxytocin/vasopressin), and pleasure/comfort (endogenous opioids).","These systems interact: novelty can boost dopamine, closeness can strengthen bonding signals, and soothing touch can support comfort and satisfaction. Popular media can exaggerate simple “chemical” explanations, so it’s best used as a lens rather than a diagnosis. Culture and relationship meaning strongly shape how these reward signals are experienced and interpreted.",Framework & Model,"Anticipation and flirting increasing motivation and excitement; Cuddling and affectionate reassurance deepening a sense of bonding; Feeling calm, satisfied, and connected after pleasurable intimacy.",Desire & Arousal,General,Sex is “just chemicals” and love is an illusion; Dopamine means you need constant novelty; Oxytocin guarantees trust or monogamy; Neurochemicals determine compatibility without communication.,Not necessarily. It describes a shorthand for three neurochemical systems often linked to sexual motivation.; It doesn’t mean you need constant novelty. It’s about a shorthand for three neurochemical systems often linked to sexual motivation.; That’s not always true. It’s about a shorthand for three neurochemical systems often linked to sexual motivation.; That’s not always true. Think of it as a shorthand for three neurochemical systems often linked to sexual motivation.,Biochemical Reward Dynamics; Limbic System; Attachment Style; Desire; Aftercare,bonding; dopamine; pleasure; oxytocin; desire-arousal; framework-model
162,Non-Harm Principles,"Safety-first principles that guide advice and product behavior toward reducing risk, preventing coercion, and supporting user wellbeing.","Non-harm principles often include: prioritize consent, avoid shame, avoid medical or legal overreach, and encourage seeking qualified support when needed. They act as a compass when data is uncertain or culturally sensitive. In relationship contexts, non-harm means respecting autonomy and avoiding ""one right way"" prescriptions.",Expectation & Norm,"Using neutral, non-shaming language when discussing desire changes; Recommending pause-and-check-in when someone feels unsure; Suggesting professional support when pain or trauma symptoms are present.",Consent & Boundaries,General,Non-harm means never taking any emotional risk; Non-harm is the same as avoiding all discomfort; Non-harm principles replace boundaries and consent; Non-harm is only relevant for clinical therapy.,It can vary. Context matters.; It isn’t avoiding all discomfort. Think of it as safety-first principles.; Consent comes first. Nothing overrides it.; Non-harm isn’t always only relevant for clinical therapy. It’s about safety-first principles.,Ethical Constraints; Gates / Guardrails; Consent; Emotional Safety; Aftercare,wellbeing; consent-safety; consent-boundaries; expectation-norm
163,Onionlayer Model,"A layered way of describing sexuality where outward behaviors sit on top of deeper layers like meaning, emotions, attachment needs, and nervous-system states.","The Onionlayer Model is useful for moving beyond “technique” and asking what a sexual preference is doing emotionally (connection, validation, play, power, safety). Different cultures emphasize different layers (duty, romance, spirituality, pleasure), so the model helps compare without judging. It can also guide conversations: start with safety and meaning before negotiating behaviors.",Framework & Model,A partner asks for more sex but the deeper layer is wanting reassurance and closeness; A person thinks they want novelty but realizes they mainly want playfulness and permission; Conflict decreases arousal because the safety layer isn’t met.,Relationship Dynamics & Intimacy,General,"The model says deeper motives are always “the real reason”; If you understand the layers, sex problems disappear; Only therapists can use layered models; Layers are the same for everyone.",It isn’t fixed. Context matters.; That’s not always true. Think of it as a layered way of describing sexuality where outward behaviors sit on top.; It depends. It describes a layered way of describing sexuality where outward behaviors sit on top.; That’s not always true. Think of it as a layered way of describing sexuality where outward behaviors sit on top.,Emotional Intimacy; Attachment Style; Desire; Arousal Brake; Relationship Form Preference,attachment; relationship-communication; intimacy-needs; relationship-dynamics-intimacy; framework-model
164,Open Relationship,A consensual agreement that allows partners to have sexual (and sometimes romantic) connections outside the primary relationship.,"Open relationships fall under ethical/consensual non-monogamy (ENM). The healthiest versions are explicit about scope (sex-only vs romantic), privacy, safer-sex practices, and how to handle feelings. Cultural context matters: in some regions discretion is a safety need, but secrecy should never replace consent.",Identity & Orientation,Partners date or have sex with others with agreement; A couple allows outside sex but prioritizes the primary bond; Clear safer-sex and disclosure rules.,Relationship Dynamics & Intimacy,Sensitive,Open relationships never involve commitment; Openness automatically fixes libido problems; Jealousy means it’s not working; Openness removes the need for consent and communication.,"It can vary. Context matters.; It depends. It describes a consensual agreement.; Jealousy isn’t proof of love. It often signals fear or insecurity.; Consent is required. Without it, stop.",Relationship Form Preference; Boundaries; Consent Frameworks; Don’t-Ask-Don’t-Tell (DADT); Polyamory,ethical-nonmonogamy; relationship-agreements; consensual-nonmonogamy; safer-sex; relationship-dynamics-intimacy; identity-orientation
165,Opt-In Consent,A consent approach where users actively choose to participate (or share data) rather than being included by default.,"Opt-in consent supports autonomy and trust, especially for sensitive topics. In product and research contexts, it works best when it’s informed (plain language), specific (clear purpose), reversible (easy withdrawal), and paired with minimal data collection and transparent governance.",Expectation & Norm,A checkbox to share anonymized data for research; Separate consent for personalized insights vs research use; A clear “withdraw consent” option in settings.,Consent & Boundaries,General,"Opt-in means consent is permanent; If users opt in, any use is acceptable; Opt-in guarantees understanding; Opt-in is only a legal requirement, not an ethical practice.","Comfort and consent lead. Everything else follows.; If users opt in, any use isn’t always acceptable.; It depends. It describes a consent approach where users actively choose to participate rather than being.; Not necessarily. Think of it as a consent approach where users actively choose to participate rather than being.",Consent Frameworks; Ethical Constraints; Tiered Access Approach; Non-Harm Principles,consent-boundaries; expectation-norm
166,Optimal Sexual States,"Personal conditions of safety, presence, and responsive arousal where intimacy feels most connected, consensual, and pleasurable.","Optimal sexual states are not a single ""peak"" experience; they vary by person and relationship. Common ingredients include emotional safety, adequate time, privacy, and attuned pacing. Tracking what supports these states helps couples design contexts that feel good across life stages and cultures, without treating any one style of sex as the standard.",State & Experience,"Feeling relaxed, unhurried, and emotionally connected; Enjoying touch most when there is privacy and playful communication; Noticing arousal is easier after repair and reassurance.",Desire & Arousal,Sensitive,"There is one universal optimal state; If you don't reach it, something is wrong; Optimal states should happen every time; Chasing optimal states matters more than consent or comfort.","There’s no one-size-fits-all. People and situations differ.; This doesn’t mean you’re broken. Many factors can change how it shows up.; It isn’t fixed. Context matters.; Consent is required. Without it, stop.",Arousal Window; Flow States; State Optimization; Emotional Safety; Aftercare,sexual-wellbeing; connection; arousal-window; presence; desire-arousal; state-experience
167,Orgasm,"A signal describing how important orgasm is to someone’s sense of sexual satisfaction, completion, and reward.","For some people orgasm is central; for others it’s optional or variable. Over-focusing on orgasm can increase performance pressure, while under-valuing it can ignore legitimate needs. Reporting should emphasize consent, pleasure diversity, and communication, and avoid making orgasm a “scorecard.”",Framework & Model,Sex feels incomplete without orgasm; Satisfaction comes from closeness even without orgasm; A couple reduces pressure by widening pleasure goals while still honoring orgasm needs.,Pleasure & Sexual Wellbeing,Sensitive,"Orgasm is the only measure of good sex; If orgasm doesn’t happen, something is wrong; Partners are responsible for each other’s orgasm; Orgasm focus cancels consent and pacing.",Orgasm isn’t always the only measure of good sex.; This doesn’t mean you’re broken. Many factors can change how it shows up.; That’s not always true. It’s about a signal describing how important orgasm is to someone’s sense of sexual.; Comfort and consent lead. Everything else follows.,Event-Based Reward; State-Based Reward; Presence vs Performance; Performance Anxiety,sexual-satisfaction; outcome-focus; pleasure-sexual-wellbeing; framework-model
168,Orientation,A pattern of sexual or romantic attraction toward others.,"Orientation describes patterns of attraction that may be sexual, romantic, or both. It exists on a spectrum and may be experienced as stable, fluid, or context-dependent.",Identity & Orientation,"Identifying as heterosexual, bisexual, homosexual, pansexual, or asexual; experiencing romantic attraction without sexual attraction",Identity & Attraction,Sensitive,Orientation is defined by behavior alone; orientation cannot change; uncertainty means confusion or indecision.,Orientation isn’t always defined by behavior alone. It describes a pattern of sexual or romantic attraction toward others.; Not necessarily. Think of it as a pattern of sexual or romantic attraction toward others.; It doesn’t mean confusion or indecision. Think of it as a pattern of sexual or romantic attraction toward others.,Asexuality; Desire; Intimacy,sexuality; attraction; identity; identity-attraction; identity-orientation
169,Outcome-Focused,"A pleasure orientation where satisfaction depends strongly on results (orgasm, performance goals, “success markers,” intensity peaks).","Outcome focus can be motivating, but it often increases performance anxiety and reduces presence. Reports should offer balancing strategies: widen the definition of success, add process rewards, and use consent check-ins so goals never become pressure. This is especially important when stress or health changes make outcomes variable.",Trait & Disposition,Sex feels incomplete without orgasm; Tracking performance milestones; Feeling disappointed despite connection if goals aren’t met.,Pleasure & Sexual Wellbeing,Sensitive,"Outcome focus is always selfish; If orgasm doesn’t happen, sex failed; Goals should override partner comfort; Outcome focus guarantees better sex.",It can vary. Context matters.; It depends. It’s about a pleasure orientation where satisfaction depends strongly on results.; Comfort and consent lead. Everything else follows.; Not necessarily. It’s about a pleasure orientation where satisfaction depends strongly on results.,Event-Based Reward; Performance Anxiety; Orgasm; Presence vs Performance,couples-communication; sexual-satisfaction; orgasm-focus; pleasure-sexual-wellbeing; trait-disposition
170,Oxytocin,"A hormone and neuropeptide associated with bonding, trust cues, and social connection, which can support closeness and post-intimacy warmth.","Oxytocin effects vary by context: it often amplifies existing social cues rather than guaranteeing trust. In intimacy reporting, it’s best described as a “bonding signal” that can increase feelings of closeness when the relationship context is safe and consensual.",Data & Research Method,Cuddling increases a sense of connection; Aftercare deepens emotional bonding; Gentle touch and reassurance support closeness before intimacy.,Emotional & Attachment Patterns,General,"Oxytocin guarantees trust; Oxytocin means monogamy is natural; Oxytocin replaces communication and repair; If you don’t feel bonded, something is wrong with you.",Not necessarily. Think of it as a hormone and neuropeptide associated with bonding trust cues and social connection.; It doesn’t mean monogamy is natural. It describes a hormone and neuropeptide associated with bonding trust cues and social connection.; It depends. It describes a hormone and neuropeptide associated with bonding trust cues and social connection.; This doesn’t mean you’re broken. Many factors can change how it shows up.,Biochemical Reward System Dynamics; Endorphins; Emotional Intimacy; Aftercare,intimacy; bonding; aftercare; closeness; emotional-attachment-patterns; data-research-method
171,Pacing & Arousal Curve,"A concept describing how speed, timing, and escalation shape arousal—how quickly it builds, peaks, and settles for a person or couple.","Pacing is a major compatibility factor: some people like a slow build, others prefer quick escalation. Differences can be negotiated by creating “pacing agreements” (slow/fast lanes) and using consent check-ins at key moments. Geo factors like privacy and time constraints strongly affect pacing.",Framework & Model,"One partner needs a long warm-up; A couple agrees on “slow start, then decide”; Arousal drops when rushed; Planning earlier in the evening improves pacing.",Desire & Arousal,Sensitive,Pacing shouldn’t matter if attraction is real; Faster is always better; Slow pacing means low desire; Pacing agreements ruin spontaneity.,Pacing shouldn’t matter if attraction isn’t always real.; It isn’t fixed. Context matters.; It doesn’t mean low desire. It describes a concept describing how speed timing and escalation shape arousal how quickly.; That’s not always true. It describes a concept describing how speed timing and escalation shape arousal how quickly.,Arousal Curve; Spike-Based Arousal; Wave-Based Arousal; Consent Frameworks,arousal-curve; global-lifestyles; pacing; desire-arousal; framework-model
172,Partner-Focused,"A relational subtype where arousal and satisfaction increase when attention is on a partner’s cues, pleasure, and emotional experience.","Partner-focused orientation can support attunement and generosity, but it can also slide into people-pleasing if boundaries are weak. Reports should encourage mutuality: partner-focus plus self-advocacy and consent clarity (“I want to give, and I also want…”).",Need & Preference,Most turned on by giving pleasure; Reads partner cues closely; Feels satisfied when the partner feels safe and cared for.,Pleasure & Sexual Wellbeing,Sensitive,Partner-focused means ignoring your own needs; Partner-focused people should always say yes; Partner focus removes the need for consent; Partner focus guarantees compatibility.,"Partner-Focused doesn’t mean ignoring your own needs. It’s about a relational subtype where arousal and satisfaction increase when attention is.; It can change. Timing matters.; Consent is required. Without it, stop.; Not necessarily. Think of it as a relational subtype where arousal and satisfaction increase when attention is.",Relational Orientation; Boundaries; Consent Frameworks,consent-first; pleasure-sexual-wellbeing; need-preference
173,Passive or Avoidant Initiation,"An initiation subtype where someone rarely initiates and may withdraw when intimacy feels pressured, unsafe, or overwhelming.","This can be driven by low energy, anxiety, shame scripts, fear of rejection, trauma history, or relationship conflict. Reports should avoid blame and focus on safety, repair, and low-pressure reconnection. If coercion or distress is present, non-harm principles and professional support are more important than “tips.”",Pattern & Dynamic,Avoids initiating due to fear of rejection; Pulls back when a partner escalates quickly; Prefers affection without expectations.,Consent & Boundaries,Highly Sensitive,"Passive means no attraction; Avoidant initiation should be “fixed” by pushing; If someone doesn’t initiate, consent is implied when they don’t resist; Withdrawal is punishment.",Passive or Avoidant Initiation doesn’t mean no attraction.; That’s not always true. Think of it as an initiation subtype where someone rarely initiates and may withdraw when intimacy.; Comfort and consent lead. Everything else follows.; Withdrawal isn’t always punishment. It’s about an initiation subtype where someone rarely initiates and may withdraw when intimacy.,Arousal Brake; Repairing / Reconnecting; Non-Harm Principles,emotional-safety; consent-first; pressure-response; consent-boundaries; pattern-dynamic
174,Pattern Libraries (by Modality),"A structured collection of relationship and sexuality patterns, exercises, and prompts organized by modalities such as sensory, emotional, communication, fantasy, and novelty.","Pattern libraries turn abstract concepts into practical options users can try. Organizing by modality supports personalization: people can explore what works for their arousal style, values, and comfort level. For global use, libraries should include culturally flexible language and multiple paths (e.g., verbal vs nonverbal communication) without stereotyping.",Product Artifact,"A ""sensory"" library of touch and pacing experiments; A ""communication"" library of consent check-ins and repair scripts; A ""fantasy"" library of safe sharing prompts and boundaries.",Product & Assessment,Sensitive,"Pattern libraries are stereotypes about people; If a pattern is suggested, you should do it; Libraries replace consent and negotiation; The same patterns work in every culture and relationship.",It depends. Think of it as a structured collection of relationship and sexuality patterns exercises and prompts organized.; Not necessarily. It’s about a structured collection of relationship and sexuality patterns exercises and prompts organized.; Comfort and consent lead. Everything else follows.; That’s not always true. Think of it as a structured collection of relationship and sexuality patterns exercises and prompts organized.,Core Modalities; Reflective Prompts; Consent Frameworks; Arousal Style; Ethical Constraints,product-assessment; product-artifact
175,Performance Anxiety,"Anxiety about being evaluated or ""doing it right"" in sexual situations, which can activate inhibition and reduce pleasure, arousal, or connection.","Performance anxiety often comes from sexual scripts, past criticism, body image pressure, and outcome-focused expectations. It can affect anyone, regardless of gender or experience. Helpful supports include slowing down, shifting toward state-based rewards, improving consent communication, and building sexual confidence through safe, realistic feedback.",State & Experience,Losing arousal when worrying about erections or orgasm; Feeling tense and distracted by self-monitoring; Avoiding initiation due to fear of disappointing a partner.,Desire & Arousal,Sensitive,"Performance anxiety means you don't want your partner; It only affects men; The solution is to try harder or fake confidence; Anxiety disappears once you find the ""right"" partner.",Performance Anxiety doesn’t mean you don't want your partner.; Not necessarily. It describes anxiety about being evaluated or doing it right in sexual situations.; It depends. Think of it as anxiety about being evaluated or doing it right in sexual situations.; It depends. It describes anxiety about being evaluated or doing it right in sexual situations.,Arousal Brake; Presence vs Performance; Sexual Confidence; Stress And Desire; Aftercare,intimacy; arousal-brakes; performance-anxiety; confidence; desire-arousal; state-experience
176,Performance-Based Confidence,"A confidence pattern where feeling “good at sex” depends heavily on outcomes, evaluation, or hitting performance goals (orgasm, erection, technique).","This pattern can boost motivation but also increases performance anxiety and event-based reward pressure. Reports should offer balancing strategies: broaden rewards, emphasize connection and consent, and normalize variability across stress and life stages.",Trait & Disposition,Feels confident only if orgasm happens; Worries about “doing it right”; Avoids initiation due to fear of disappointing a partner.,Pleasure & Sexual Wellbeing,Sensitive,"Performance focus is always bad; Performance confidence means someone is selfish; If goals aren’t met, intimacy is a failure; Outcomes prove love or attraction.",It can vary. Context matters.; It doesn’t mean someone is selfish. It describes a confidence pattern where feeling good at sex depends heavily on outcomes.; This doesn’t mean you’re broken. Many factors can change how it shows up.; It doesn’t guarantee outcomes. It’s one part of the picture.,Performance Anxiety; Event-Based Reward; Presence vs Performance; State-Based Reward,outcome-focus; sexual-pressure; pleasure-sexual-wellbeing; trait-disposition
