ID,Term,Type,Definition,Extended Notes,Examples,Domain,Sensitivity Level,Misinterpretations,Related Terms,Tags
77,Performance-Based Confidence,Trait & Disposition,"A confidence pattern where feeling “good at sex” depends heavily on outcomes, evaluation, or hitting performance goals (orgasm, erection, technique).","This pattern can boost motivation but also increases performance anxiety and event-based reward pressure. Reports should offer balancing strategies: broaden rewards, emphasize connection and consent, and normalize variability across stress and life stages.",Feels confident only if orgasm happens; Worries about “doing it right”; Avoids initiation due to fear of disappointing a partner.,Pleasure & Sexual Wellbeing,Sensitive,"Performance focus is always bad; Performance confidence means someone is selfish; If goals aren’t met, intimacy is a failure; Outcomes prove love or attraction.",Performance Anxiety; Event-Based Reward; Presence vs Performance; State-Based Reward,performance-confidence; outcome-focus; sexual-pressure; orgasm-goals; self-esteem
78,Polyamory,Identity & Orientation,"A consensual non-monogamy structure that allows multiple romantic relationships, with the knowledge and consent of everyone involved.","Polyamory emphasizes informed consent, honesty, and relationship agreements (time, emotional commitment, safer sex, boundaries). It can be hierarchical or non-hierarchical depending on values. Cultural and legal realities vary widely, so “outness,” privacy, and safety planning are often important parts of ethical practice.",Someone has two committed partners with transparency; A couple dates others and supports romantic bonds; Metamours (partner’s partners) are acknowledged respectfully.,Relationship Dynamics & Intimacy,Sensitive,Polyamory means fear of commitment; Polyamory is always about sex; Polyamory guarantees less jealousy; Polyamory works without boundaries if people are “secure.”,Open Relationship; Relationship Anarchy; Boundaries; Consent Frameworks; Trust and Safety Insecurity,polyamory; multiple-relationships; consensual-nonmonogamy; relationship-structures; communication; global-context
79,Power Exchange,Pattern & Dynamic,A consensual dynamic where partners intentionally trade control and responsibility (dominant/submissive roles or negotiated leadership) for erotic or emotional effect.,"Power exchange is defined by consent, negotiation, and boundaries—often including safewords, aftercare, and debriefs. It can be playful and low-intensity or more structured. Cultural context matters for privacy and language, but the core safety rule remains: no pressure, clear agreements.",Using a safeword during a consensual scene; Negotiating “who leads” for the night; Debriefing after to confirm comfort and adjust boundaries.,"Fantasy, Kink & Exploration",Highly Sensitive,"Power exchange is abuse; If someone agrees once, consent is permanent; Power play is only for “kinky” people; It’s safe without aftercare or boundaries.",Power Orientation; Consent Frameworks; Aftercare; Ethical Constraints,power-exchange; bdsm; negotiated-control; safewords; aftercare; kink-safety
80,Power Orientation,Metric & Measurement,"A report dimension describing a person’s preferred power dynamic in intimacy (leading, yielding, switching, or egalitarian), expressed consensually.","Power orientation can show up in subtle ways (who initiates, who plans) or explicit erotic roles. It can be fluid across contexts and life stages. Reports should emphasize that power preferences are only healthy when explicit, voluntary, and reversible—and never used to override consent.",Prefers to lead with confident initiation; Prefers to surrender control to relax; Enjoys switching roles depending on mood and partner.,"Fantasy, Kink & Exploration",Highly Sensitive,"Power preference equals daily-life control issues; Power dynamics remove the need for consent; Wanting to lead means aggression; If partners differ, it’s unsafe to talk about.",Power Exchange; Erotic Polarity; Roleplay Boundaries; Consent Frameworks,power-orientation; dominance-submission; role-dynamics; consent-safety; erotic-compatibility
81,Power-Based Arousal,Pattern & Dynamic,"An arousal pattern where desire increases through consensual power dynamics (leading/following, control/surrender, authority/play).","Power-based arousal can be subtle (who initiates, who “guides” pacing) or explicit (BDSM-style roles). It is healthiest when negotiated, reversible, and supported by boundaries, safewords, and aftercare. Cultural norms may influence how openly power themes are discussed, so reports should offer private, low-intensity options too.",Arousal increases when one partner confidently leads; Desire rises with consensual dominance/submission play; A couple uses a “yes/no/maybe” list to explore power themes safely.,"Fantasy, Kink & Exploration",Highly Sensitive,"Power arousal equals wanting control in daily life; Power dynamics remove the need for consent; Enjoying power play means aggression; If partners differ, it’s unsafe to discuss.",Power Orientation; Power Exchange; Roleplay Boundaries; Aftercare,power-based-arousal; dominance-submission; erotic-polarity; consent-first; kink-safety
82,Process-Focused,Trait & Disposition,"A pleasure orientation where satisfaction comes mainly from the experience itself—connection, sensation, play, and closeness—rather than specific outcomes.","Process-focused people often benefit from state-based rewards and may feel turned off by pressure or scorekeeping. This orientation is highly geo-friendly because it supports intimacy even when privacy, time, or life stress limits “full sessions.” It pairs well with consent-centered pacing and aftercare.",Feeling satisfied from kissing and touch; Enjoying slow build without needing a specific end point; Valuing connection and aftercare as part of intimacy.,Pleasure & Sexual Wellbeing,General,Process focus means you don’t care about orgasm; Process focus is “low passion”; If you’re process-focused you can’t enjoy novelty; Process focus replaces communication about needs.,State-Based Reward; Presence vs Performance; Actual Pleasure; Aftercare,process-focused; process-over-outcome; intimacy-quality; connection; pleasure; sustainable-sex
83,Psychometric Approximation,Data & Research Method,"A measurement approach where report scores estimate complex traits from survey answers—useful, but never perfectly precise.","Psychometric approximations translate self-report into structured dimensions with known limits (noise, bias, context effects). Good reporting emphasizes “approximate and actionable,” includes reliability/validity notes, and avoids clinical-sounding certainty. This is especially important for geo-ready products where translation and cultural norms can shift item meaning.",A libido-related score changes after a stressful month; Two close archetypes appear because answers are mixed; A report flags low certainty when responses are inconsistent.,"Data, Privacy & Measurement",General,Approximation means the report is useless; Approximation equals guessing; Scores can be treated as diagnoses; Measurement error only happens when users lie.,Psychometric Scoring Layer; Validity; Reliability; Context-Sensitive Assessments; Interpretive Depth,psychometric-approximation; measurement-limits; survey-science; uncertainty; global-calibration
84,Recharging / Pausing,State & Experience,"A stage where someone intentionally slows down or pauses sexual activity to recover energy, reduce pressure, and restore safety or desire.","This stage can be healthy and strategic—especially during burnout, grief, postpartum, illness, or major life transitions. The goal is not avoidance; it’s restoring capacity and agency. Recommendations often focus on non-sexual intimacy, stress reduction, and low-pressure connection.",Choosing cuddling and affection without escalation; Taking a break from performance goals during a stressful month; Rebuilding sleep and privacy to support future desire.,Pleasure & Sexual Wellbeing,Sensitive,Pausing means the relationship is failing; Pausing equals rejection; Pausing should be indefinite; Pausing means someone is not sexual.,State Optimization; Stress And Desire; Aftercare; Non-Harm Principles; Longitudinal Check-ins,recharging; pausing; libido-recovery; stress-and-desire; low-pressure-intimacy
85,Reflective & Symbolic,Trait & Disposition,"A communication style that expresses desire and meaning through reflection, metaphor, values language, or “what this represents” emotionally.","This style often emphasizes purpose, intimacy meaning, and emotional truth more than explicit mechanics. It can be especially common in cultures where direct sex talk feels taboo, offering a respectful pathway to communicate needs indirectly—ideally with consent clarity added when decisions are required.","Discussing intimacy as “connection and devotion”; Using rituals or meaning-setting to initiate; Sharing feelings through letters, messages, or symbolic gestures.",Sexual Communication & Initiation,General,"Reflective means avoiding reality; Symbolic talk replaces consent; If someone uses metaphors, they’re not sexual; Reflection means low desire.",Spiritual Lover; Typical Beliefs; Practical Wisdom Traditions; Consent Frameworks,reflective-symbolic; meaning-based-intimacy; values-talk; ritual; culture-sensitive
86,Relational Orientation,Metric & Measurement,A report dimension describing whether desire and satisfaction are driven more by relational connection (we/us) or personal experience (me) during intimacy.,"Relational orientation helps explain common mismatches: one person seeks bonding and reassurance while the other seeks self-led pleasure or stress relief. Neither is wrong; the goal is translating orientation into compatible experiences (e.g., connection-first warm-up + self-focused release) with clear consent.",Caring most about feeling emotionally connected; Wanting intimacy to affirm commitment; Preferring shared rituals and mutual attention.,Relationship Dynamics & Intimacy,General,Relational orientation means codependency; If you’re relational you don’t enjoy personal pleasure; Partners must match exactly; Relational orientation replaces consent.,Partner-Focused; Being Chosen; Being Safe; Emotional Intimacy,relational-orientation; connection-driven; bonding; couples-intimacy; relationship-needs; global-relationships
87,Relationship Anarchy,Identity & Orientation,"A relationship philosophy that rejects ranking relationships by default and instead builds agreements based on autonomy, consent, and personal values.","Relationship anarchy (RA) treats different bonds (romantic, sexual, friendship) as customizable rather than automatically hierarchical. RA does not mean “no commitment”—it means commitment is chosen and negotiated rather than assumed. Geo-friendly reporting should highlight that RA can be practiced privately and respectfully in cultures where social norms are stricter.",Not assuming romance is more important than friendship; Negotiating each relationship on its own terms; Avoiding default couple-privilege when values don’t support it.,Relationship Dynamics & Intimacy,Sensitive,RA means avoiding responsibility; RA is the same as casual dating; RA means no boundaries; RA is anti-monogamy by definition.,Polyamory; Relationship Form Preference; Boundaries; Consent Frameworks; Autonomy Need,relationship-anarchy; relational-autonomy; nonhierarchical; relationship-values; negotiated-agreements; consent-first
88,Relationship Form Preference,Metric & Measurement,"A report dimension describing preferred relationship structure (e.g., monogamy, consensual non-monogamy, flexible agreements) as a compatibility factor.","This dimension should be treated as values-and-consent driven, not moral. Geo-ready reporting should acknowledge that norms differ widely by region and community, while still emphasizing that agreements must be explicit and freely chosen. Mismatch here is often a guardrail issue, not a “work harder” issue.",Prefers monogamy with clear exclusivity; Prefers open relationships with negotiated rules; Chooses flexible agreements during long-distance periods.,Relationship Dynamics & Intimacy,Sensitive,Non-monogamy means no commitment; Monogamy is always healthiest; Preference is fixed forever; Partners can ignore this mismatch if chemistry is strong.,Sexual Script; Boundaries; Consent Frameworks; Gates / Guardrails,relationship-form-preference; monogamy; nonmonogamy; relationship-agreements; compatibility
89,Repairing / Reconnecting,State & Experience,"A stage focused on rebuilding trust, closeness, and safety after conflict, distance, or a difficult intimacy experience.","Repairing often emphasizes emotional attunement, accountability, and gentle re-entry into touch with clear consent. In geo-diverse contexts, “repair” can be framed through values like respect, dignity, and care—without forcing explicit sexual talk if that feels culturally unsafe.","The couple uses a weekly check-in to reduce tension; Partners restart intimacy with slow, consented touch; After a misunderstanding, they use aftercare and reassurance to reconnect.",Emotional & Attachment Patterns,Sensitive,"Repair means someone is at fault; Repair requires immediate sex to prove closeness; If you need repair, you’re incompatible; Repair can happen without boundaries or consent.",Aftercare; Consent Frameworks; Relational Loops; Emotional Safety; Feedback Loops,repairing; reconnecting; relationship-repair; emotional-safety; intimacy-rebuild
90,Reserved & Withdrawn,Trait & Disposition,"A communication style where someone shares less verbally, prefers privacy, and may pull back under pressure—often needing time and safety to speak openly.",This style can be culturally shaped (modesty norms) or nervous-system shaped (stress responses). It can be healthy when partners respect pacing and create low-pressure invitations. Reporting should emphasize that “reserved” still needs clear consent signals and boundaries—just expressed gently.,Short answers instead of long talks; Prefers nonverbal affection; Needs decompression time before discussing intimacy.,Emotional & Attachment Patterns,Sensitive,Reserved means rejection; Withdrawn equals manipulation; You should push to “get answers”; Reserved people don’t need consent check-ins.,Quiet Withdrawer; Stress And Desire; Signal Mismatch; Consent Frameworks,reserved-withdrawn; privacy; slow-communication; pressure-response; reconnection
91,Responsive Initiation,Pattern & Dynamic,An initiation subtype where someone is more likely to engage after a partner initiates or after arousal begins through context/touch rather than starting it themselves.,"Responsive initiation is common and not a flaw. It can reflect responsive desire, low energy, cultural modesty norms, or preference for being invited. Healthy pairing includes clear invitations, permission to say no, and avoiding scorekeeping about “who initiates.”",More engaged once foreplay begins; Prefers being invited rather than starting; Enjoys initiating after feeling safe and warmed up.,Sexual Communication & Initiation,Sensitive,"Responsive means low libido; Responsive partners are lazy; If you don’t initiate, you don’t care; Responsive initiation makes consent less important.",Initiation Style; Body-First Arousal; Desire Discrepancy; Consent Frameworks,responsive-initiation; responsive-desire; invitation; low-pressure; intimacy-pacing
92,Risk Orientation,Metric & Measurement,"A report dimension describing someone’s comfort with uncertainty and intensity in dating, intimacy pacing, and sexual exploration.","Risk orientation affects how fast people escalate, how they handle novelty, and how they interpret “maybe.” It is shaped by personality, culture, and past experiences. Reporting should normalize differences and focus on negotiated pacing, consent clarity, and safety cues.",One partner prefers slow steps; Another prefers spontaneity; A couple sets a shared pace and uses check-ins to reduce anxiety.,Relationship Dynamics & Intimacy,General,Low risk means prudish; High risk means reckless; Risk orientation equals consent willingness; Partners must match exactly.,Low-Risk Orientation; Moderate-Risk Orientation; High-Risk Orientation; Consent Frameworks,risk-orientation; pacing; novelty-vs-safety; dating-style; relationship-negotiation
93,Role-Based Confidence,Trait & Disposition,"A confidence pattern where comfort and desire increase when roles are clear (leader/follower, initiator/receiver, caregiver/cherished), with consent and boundaries.","Roles can be cultural (who initiates) or erotic (power orientation). This can reduce uncertainty and increase arousal, but it becomes risky if roles become rigid or override consent. Reports should encourage flexibility and explicit agreements.",Feels relaxed when they lead initiation; Enjoys being guided with clear consent; Prefers predictable roles in long-term routines.,"Fantasy, Kink & Exploration",Highly Sensitive,"Role-based confidence equals sexism; Roles eliminate the need for consent; If roles shift, attraction dies; Wanting a role means wanting control in all areas.",Power Orientation; Erotic Polarity; Consent Frameworks; Loyal Ritualist,role-based-confidence; roles; polarity; initiation-roles; consent-boundaries
94,Scores & Benchmarks,Metric & Measurement,Numerical results in a report that summarize dimensions (scores) and compare them to reference ranges or typical patterns (benchmarks).,"Benchmarks are meant to add context, not judgment. They can be population-based (global/regional) or model-based (archetype prototypes). Because cultural norms affect how people answer sensitive questions, benchmarks should be explained clearly and used alongside uncertainty notes and personalized interpretation.",A “communication comfort” score with a typical range; A percentile showing how common a preference is in a region; A benchmark comparing a user to an archetype prototype profile.,"Data, Privacy & Measurement",General,Benchmarks define what is normal or correct; Higher scores are always better; Benchmarks apply equally across all cultures and languages; A single score captures the full truth.,Normalized Dimension Values; Dimension Weights; Interpretive Depth; Validity; Reliability,scores-and-benchmarks; assessment-scores; percentiles; reference-ranges; explainable-results
95,Secure Attachment,Trait & Disposition,"A report pattern indicating comfort with closeness and independence, with relatively stable trust and lower fear-driven reactivity in relationships.","Secure attachment in reports is a self-report pattern, not a diagnosis. It often predicts easier repair, clearer consent communication, and less escalation during conflict. Cultural norms influence how security is expressed (direct reassurance vs quiet reliability).",Can say no without panic; Handles conflict with repair; Feels connected without constant reassurance.,Emotional & Attachment Patterns,General,Secure means no insecurities; Secure people never struggle sexually; Secure equals “best” and others are bad; Security means you don’t need boundaries.,Attachment Style; Relational Loops; Repairing / Reconnecting; Emotional Safety,secure-attachment; trust; stability; relationship-security; repair
96,Self-Focused,Need & Preference,"A relational subtype where arousal and satisfaction increase when attention is on one’s own sensations, internal state, fantasy, and pleasure experience.","Self-focused does not mean selfish; it often reflects embodied awareness or mind-led arousal. The key is communication and mutuality: partners can alternate focus, use clear invitations, and ensure consent remains central. This can be especially helpful for people managing stress or performance anxiety by staying with their own body cues.",Needs private mental space to stay turned on; Uses fantasy to build arousal; Prefers guiding a partner to match their sensation preferences.,Relationship Dynamics & Intimacy,General,Self-focused means you don’t care about your partner; Self-focus is incompatible with commitment; Self-focus cancels consent; Self-focused people can’t do emotional intimacy.,Relational Orientation; Mind-Led Arousal; Embodiment Style; Attentional Focus,self-focused; self-led-pleasure; embodiment; fantasy; arousal-pattern; intimacy-communication
97,Serial Monogamy,Identity & Orientation,"A relationship pattern of having one exclusive partner at a time, moving through monogamous relationships sequentially.","Serial monogamy is common globally and can be values-aligned for people who prefer deep one-to-one bonds but don’t expect lifelong partnership with a single person. It’s not inherently “better” or “worse” than other forms; the key is honesty, repair, and clear closure between relationships to avoid overlap and ambiguity.",Exclusive relationships over time with different partners; Dating one person at a time but not for life; Clear breakups before starting a new committed relationship.,Relationship Dynamics & Intimacy,General,Serial monogamy is the same as cheating; It means someone can’t commit; It guarantees emotional safety; It’s identical across all cultures and generations.,Monogamy; Casual Dating; Relationship Form Preference; Commitment Scripts,serial-monogamy; one-at-a-time; dating-patterns; commitment-style; relationship-lifecycle
98,Serotonin,Data & Research Method,"A neurotransmitter involved in mood regulation, satisfaction, and emotional stability, which can influence sexual interest indirectly through wellbeing.","Serotonin is often discussed in relation to mood and stress balance; changes in serotonin systems (including via some medications) can affect desire, arousal, and orgasm for some people. Reports should keep it practical: mood, sleep, and stress management matter, and medical questions belong with clinicians.",Desire improves as mood stabilizes; Low mood reduces interest in intimacy; Some people notice sexual side effects when starting or changing medication.,Pleasure & Sexual Wellbeing,General,"Serotonin is a libido switch; More serotonin always increases desire; If libido changes, it’s only brain chemistry; Neurochemicals replace relationship context.",Cortisol; Stress And Desire; Biochemical Reward System Dynamics; Energy Level,serotonin; mood-and-libido; wellbeing; satisfaction; mental-health
99,Sexual Archetypes,Framework & Model,"A report framework that groups recurring desire, bonding, and intimacy patterns into recognizable “archetypes” to support self-understanding and communication.","Sexual archetypes are not diagnoses or fixed identities—they’re practical pattern labels that help people talk about what reliably increases connection, arousal, safety, and satisfaction. In geo-diverse contexts, archetypes should be interpreted with cultural humility: the same pattern may look different across regions, religions, and relationship norms. The best use is as a conversation starter plus actionable guidance (turn-ons, brakes, boundaries, and needs).",A user recognizes they’re motivated by emotional closeness more than novelty; A couple uses archetypes to discuss initiation and pacing; A report shows top 2 archetypes to reduce over-labeling.,Product & Assessment,Sensitive,Archetypes are permanent identities; One archetype is “better” or more evolved; Archetypes predict relationship success with certainty; Archetypes replace consent and communication.,Archetype Probability; Constellation of Archetypes; Core Archetype; Alignment Profiles; Interpretive Depth,sexual-archetypes; intimacy-archetypes; relationship-report; desire-patterns; global-compatibility
100,Sexual Stage,Framework & Model,"A report concept that describes where someone currently is in their intimacy journey (e.g., paused, repairing, exploring, integrating), based on context and readiness.","Sexual stages are meant to be temporary and compassionate—reflecting energy, safety, stress, and relationship context rather than “progress level.” Stages help tailor recommendations: someone in repair may need reconnection tools, while someone exploring may need consent frameworks and boundaries. Geo-friendly design avoids moral hierarchy and respects local values around privacy and sexuality.","A person in a high-stress season shows “Recharging / Pausing”; After conflict, a couple shows “Repairing / Reconnecting”; A user with stable routines shows “Grounded / Integrated.”",Relationship Dynamics & Intimacy,Sensitive,A stage is a fixed label; Higher stages are superior; A stage determines compatibility; Stages replace communication and consent check-ins.,Recharging / Pausing; Repairing / Reconnecting; Awakening / Exploring; Grounded / Integrated; Longitudinal Deltas,sexual-stage; intimacy-stage; relationship-season; readiness; context-aware
101,Situationship,Pattern & Dynamic,"An ambiguous relationship that includes dating-like behavior without clear labels, commitments, or agreements.","Situationships often happen when people avoid clarity talks, have mismatched goals, or face external constraints (distance, family pressure, life transitions). They can be temporary and consensual, but they frequently create insecurity and mixed signals. A small step—defining expectations and boundaries—usually improves emotional safety.",Regular intimacy and texting without exclusivity talk; Acting like a couple but avoiding labels; One person wants commitment while the other avoids defining the relationship.,Relationship Dynamics & Intimacy,Sensitive,"Situationships are always toxic; A label is required for consent; Ambiguity is romantic; If someone won’t define it, you should push harder.",Silent (Assumed) Monogamy; Casual Dating; Signal Mismatch; Core Insecurities,situationship; undefined-relationship; dating-ambiguity; mixed-signals; modern-relationships
102,Skill- and Knowledge-Based Confidence,Trait & Disposition,"A confidence pattern where sexual self-assurance comes from learning (anatomy, communication, consent skills) and applying knowledge with curiosity and care.","This pattern tends to improve with education and feedback and pairs well with progressive precision and structured action → integration. The growth edge is staying present: knowledge should support, not replace, embodied connection.",Learns turn-ons/turn-offs through discussion; Uses check-ins and aftercare; Gains confidence after improving sexual education literacy.,Pleasure & Sexual Wellbeing,General,Knowledge makes sex robotic; Skilled means you never struggle; Skill should override partner preferences; Learning kills spontaneity.,Guided Self-Understanding; Progressive Precision; Structured Action → Integration Sequence; Consent Frameworks,skill-based-confidence; sex-education; communication-skills; learning; sexual-self-efficacy
103,Soft-Sensory,Need & Preference,"An embodiment subtype where gentle sensation, warmth, and soothing touch are the most reliable pathway into pleasure and arousal.","Soft-sensory preference often overlaps with wave-based arousal and process-focused pleasure. It’s highly compatible with low-pressure intimacy rituals (massage, cuddling, slow kissing) and can be culturally adaptable because it doesn’t require explicit scripts or high intensity. Consent check-ins keep softness from becoming assumed escalation.","Prefers slow caresses over intense stimulation; Enjoys warmth, cuddling, and gentle pressure; Responds well to sensual massage with clear boundaries.",Pleasure & Sexual Wellbeing,General,Soft sensory means low libido; Gentle touch is “not real sex”; Softness implies consent for escalation; If you want soft touch you can’t enjoy intensity.,Sensual Massage; Sensory Play; Wave-Based Arousal; Process-Focused,soft-sensory; gentle-touch; soothing-pleasure; slow-sex; intimacy-rituals; couples-care
104,Spike-Based Arousal,Pattern & Dynamic,"An arousal pattern where desire rises quickly in sharp bursts (often triggered by novelty, thrill, or strong cues) and may drop quickly if conditions shift.","Spike-based arousal can be fun and energizing, but it can also be sensitive to stress interruptions, pressure, or loss of novelty. Sustainable support often includes managing expectations, creating “mini-anticipation” rituals, and balancing spikes with state-based rewards (connection and presence).","Sudden desire from flirting; Arousal drops if interrupted or rushed; Strong response to novelty or thrill; Benefits from quick, clear consent and timing.",Desire & Arousal,Sensitive,"Spikes mean you can’t do long-term intimacy; Spike arousal justifies impulsive behavior; If spikes fade, love is gone; Spike patterns mean low emotional depth.",Novelty; Event-Based Reward; Reward System Recalibration; Arousal Curve,spike-based-arousal; fast-arousal; novelty-driven; spark; desire-pattern; sustainable-intimacy
105,Strategic & Persuasive,Trait & Disposition,"A communication style that uses reasoning, negotiation, and influence to shape outcomes, often emphasizing arguments, framing, or “selling” ideas.","This can be positive in collaborative planning (e.g., proposing date night), but it can become unsafe if it turns into pressure around consent or boundaries. Geo-ready reporting should distinguish healthy persuasion (options + respect) from coercion (guilt, persistence after a no).",Proposing a plan with benefits and compromises; Negotiating frequency expectations respectfully; Unhealthy: continuing to argue after a boundary is stated.,Consent & Boundaries,Sensitive,"Persuasion is always manipulation; If someone is persuasive, consent is impossible; Being strategic means lying; Persuasion is required to keep a relationship alive.",Strategic Manipulator; Ethical Constraints; Consent Frameworks; Boundaries,strategic-persuasive; negotiation; influence; consent-safety; communication-style
106,Subjective,Signal & Cue,"The felt, mental-emotional experience of arousal (interest, desire, excitement, safety, and “I want this”), which may or may not match genital response.","Subjective arousal depends heavily on meaning, safety, relationship context, and mood. It’s often the most consent-relevant signal because it reflects willingness and comfort. Reports should encourage users to name subjective cues clearly (yes/maybe/no) and not to overinterpret silence or politeness.",Feeling turned on without strong genital response; Feeling “not into it” even if the body reacts; Desire rises after emotional connection and reassurance.,Consent & Boundaries,Sensitive,"Subjective arousal is “just thoughts” and doesn’t matter; If you feel desire, consent is guaranteed; Subjective arousal should be constant in a good relationship; Subjective arousal can be forced by logic.",Genital; Arousal Non-Concordance; Consent Frameworks; Emotional Safety,subjective-arousal; felt-desire; willingness; consent-signals; emotional-context; global-communication
107,Supportive & Adaptive,Trait & Disposition,"A communication style focused on reassurance, flexibility, and adjusting to a partner’s needs, often prioritizing harmony and emotional safety.","This style can be excellent for repair and consent-centered pacing, especially in high-stress seasons. The growth edge is self-advocacy: supportive communicators may need practice stating their own needs without over-accommodating.","In conflict, they validate feelings first; They ask “What would feel good for you?”; They change pace quickly when a partner signals discomfort.",Emotional & Attachment Patterns,Sensitive,Supportive means no preferences; Adaptive means people-pleasing; Supportive partners should accept any request; Being supportive replaces explicit consent.,Repairing / Reconnecting; Emotional Safety; Boundaries; Reflective Prompts,supportive-communication; adaptive-style; reassurance; emotional-safety; couples-repair
108,Trust and Safety Insecurity,Trait & Disposition,"A fear that people aren’t reliable or safe, which can create hypervigilance, jealousy, and difficulty relaxing into intimacy.","This insecurity may come from past betrayal, inconsistent care, or cultural environments where trust feels risky. In reports, the emphasis should be on building safety cues: clear agreements, repair after ruptures, transparency aligned with privacy, and consent-first communication.",Suspicion when a partner is private with their phone; Difficulty relaxing during sex; Needing clear rules and follow-through to feel safe.,Emotional & Attachment Patterns,Highly Sensitive,"Trust insecurity means someone is controlling by nature; Jealousy is proof of love; More surveillance creates more safety; If you trust once, you should never need repair again.",Core Insecurities; Trust Repair; Boundaries; Consent Frameworks; DADT,trust-insecurity; safety-needs; jealousy; transparency; relationship-security
109,Turn-Offs,Signal & Cue,"Stimuli, contexts, or interactions that reduce desire or arousal, often acting as “brakes” on sexual response.","Turn-offs can be physical (discomfort, fatigue), emotional (pressure, conflict), cognitive (worry, shame scripts), or contextual (low privacy). In reports, turn-offs help couples reduce friction by changing conditions rather than blaming attraction. They are especially important for consent clarity: discomfort signals matter.",Feeling rushed or pressured; Conflict or unresolved tension; Low privacy; Criticism or insecurity-triggering comments.,Desire & Arousal,Sensitive,"Turn-offs mean you don’t love your partner; You should ignore turn-offs to be “spontaneous”; Turn-offs are just excuses; If you remove turn-offs, sex is guaranteed.",Arousal Breaks; Arousal Brake; Cortisol; Energy Level; Emotional Safety,turn-offs; sexual-inhibitors; arousal-brakes; libido-blockers; relationship-stress; cross-cultural
110,Turn-Ons,Signal & Cue,"Stimuli, contexts, or interactions that reliably increase desire or arousal for a person.","Turn-ons can be sensory (touch, scent), emotional (reassurance, affection), cognitive (fantasy, anticipation), or relational (being chosen). They often change with stress, privacy, and life stage. In reports, turn-ons are best used as practical “what helps” cues—not demands—and should always be paired with consent and pacing.",Slow kissing and warmth; Compliments and feeling desired; Privacy + time; Playful flirtation and anticipation texts.,Desire & Arousal,Sensitive,Turn-ons are universal; If something is a turn-on once it must always work; Turn-ons justify pushing a partner; Turn-ons equal consent.,Turn-Offs; Arousal Style; Arousal Curve; Being Seen; Being Safe,turn-ons; sexual-triggers; desire-accelerators; arousal-cues; couples-intimacy; global-dating
111,Typical Beliefs,Framework & Model,"A report dimension describing common beliefs and assumptions someone holds about sex, desire, roles, and what a “good relationship” should look like.","Typical beliefs often come from culture, religion, family messaging, and past relationships. They shape consent language, initiation expectations, shame levels, and what feels “allowed.” In geo-diverse reporting, beliefs should be discussed respectfully and with options: keep values while updating unhelpful myths.",Belief that sex should be spontaneous and “natural”; Belief that saying no is disrespectful; Belief that good partners should mind-read without talking.,Relationship Dynamics & Intimacy,Sensitive,Beliefs are facts; Beliefs can’t change; Different beliefs mean incompatibility; Beliefs justify pressuring a partner.,Social Software; Sexual Script; Sexual Tabooization; Consent Frameworks,typical-beliefs; relationship-assumptions; sexual-scripts; cultural-norms; sex-myths
112,Validation,Framework & Model,"A report signal describing how strongly someone’s desire, confidence, or satisfaction depends on feeling wanted, praised, or chosen.","Validation needs are human and vary widely. High validation sensitivity can amplify performance anxiety and reassurance-seeking, especially in cultures with strong sexual shame scripts. Healthy use means asking directly for reassurance without using guilt or pressure, and building internal self-trust alongside partner feedback.",Desire rises after compliments; Arousal drops when feedback feels unclear; Someone avoids initiation due to fear of rejection and needs gentle reassurance.,Emotional & Attachment Patterns,Sensitive,Needing validation is manipulative; Validation should override boundaries; Praise will fix everything; Validation need means low maturity.,Approval Seeker; Performance Anxiety; Sexual Confidence; Core Insecurities,validation; reassurance; feeling-desired; approval-needs; confidence
113,Validation-Based Arousal,Pattern & Dynamic,"An arousal pattern where feeling desired, admired, or chosen strongly increases desire and sexual confidence.","Validation-based arousal is common and often shows up as responsiveness to compliments, attention, or erotic “being seen” cues. It can become fragile when self-worth depends entirely on external feedback, increasing performance anxiety or reassurance loops. Healthy support balances partner praise with self-trust, clear boundaries, and non-pressure initiation.",Desire rises after compliments or flirtation; Arousal drops when feedback feels unclear; Feeling “wanted” is the strongest turn-on cue.,Desire & Arousal,Sensitive,"Needing validation is manipulative; Praise should override boundaries; If you need reassurance, you’re incompatible; Validation-based arousal means you’re insecure forever.",Validation; Approval Seeker; Performance Anxiety; Being Seen,validation-based-arousal; feeling-desired; praise; reassurance; sexual-confidence; modern-dating
114,Voyeurism,Identity & Orientation,An erotic interest in watching others in sexual or intimate contexts—ethical only when everyone involved consents and privacy is protected.,"Reports must distinguish consensual voyeurism (e.g., watching a partner, consensual adult content, agreed-upon situations) from non-consensual spying, which is harmful and illegal. Healthy practice includes explicit permission, clear boundaries, and strong privacy/digital safety practices, especially across regions with different legal norms.","Enjoying consensual watching with a partner; Watching consensual adult content as fantasy; Joining a consensual, rules-based environment with explicit consent (where legal).","Fantasy, Kink & Exploration",Highly Sensitive,"Voyeurism is always spying; Watching equals consent for action; If you like watching, you can ignore boundaries; Voyeurism must be public or risky to count.",Exhibitionism; Exhibitionist Performer; Ethical Constraints; Consent Frameworks,voyeurism; consensual-watching; erotic-visual; privacy; consent-first; kink-education
