ID,Term,Type,Definition,Extended Notes,Examples,Domain,Sensitivity Level,Misinterpretations,Related Terms,Tags
69,Performance Anxiety,State & Experience,"Anxiety about being evaluated or ""doing it right"" in sexual situations, which can activate inhibition and reduce pleasure, arousal, or connection.","Performance anxiety often comes from sexual scripts, past criticism, body image pressure, and outcome-focused expectations. It can affect anyone, regardless of gender or experience. Helpful supports include slowing down, shifting toward state-based rewards, improving consent communication, and building sexual confidence through safe, realistic feedback.",Losing arousal when worrying about erections or orgasm; Feeling tense and distracted by self-monitoring; Avoiding initiation due to fear of disappointing a partner.,Desire & Arousal,Sensitive,"Performance anxiety means you don't want your partner; It only affects men; The solution is to try harder or fake confidence; Anxiety disappears once you find the ""right"" partner.",Arousal Brake; Presence vs Performance; Sexual Confidence; Stress And Desire; Aftercare,performance-anxiety; sexual-pressure; arousal-brakes; confidence; intimacy
70,Polyvagal Theory,Framework & Model,"A theory describing how the nervous system shifts between states of safety, mobilization, and shutdown, influencing connection, communication, and sexual readiness.","Polyvagal theory is widely used in somatic and trauma-informed practice to explain why people can feel open and connected in one moment and distant or numb in another. In intimacy, cues of safety (tone of voice, pacing, consent, privacy) can help move toward a “social engagement” state. The theory is influential, though researchers debate some details; its practical value is often in helping people name state shifts with less shame.",A partner’s gentle voice and slower pace helps someone relax into touch; Feeling judged triggers shutdown and emotional distance; Taking a break and reconnecting through eye contact and breathing before continuing.,Emotional & Attachment Patterns,Sensitive,"Polyvagal theory is a complete map of the brain; If someone is dysregulated, they are choosing to be difficult; Nervous-system states remove responsibility for behavior; The theory means sex should always be soothing and never activating.",Autonomic Nervous System (ANS); Vagus Nerve; Emotional Safety; Aftercare; Somatic Integration,polyvagal-theory; nervous-system-states; co-regulation; emotional-safety; intimacy; stress-and-desire
71,Power Orientation,Trait & Disposition,"A person’s preference for power dynamics in intimacy, such as enjoying equality, taking the lead, yielding control, or switching roles.","Power orientation can be expressed in non-sexual relationship roles (decision-making, planning) and in erotic contexts (dominance/submission themes). It is healthiest when it is consensual, explicit, and aligned with boundaries. Power preferences can be cultural and contextual, and they may change depending on safety, trust, and stress levels.",Someone feels most turned on when they lead and their partner enjoys being guided; A person prefers egalitarian decision-making but likes playful dominance in the bedroom; A couple uses clear consent language when experimenting with control dynamics.,"Fantasy, Kink & Exploration",Highly Sensitive,"Power orientation means someone wants control in everyday life; Interest in power play equals aggression; Power dynamics eliminate the need for consent; If partners differ, it is unsafe to discuss.",Role Play; Roleplay Boundaries; Consent; Safe Word; Erotic Polarity; Typical Sexual Fantasies,power-orientation; dominance-submission; power-play; kink-consent; role-dynamics; erotic-compatibility
72,Practical Wisdom Traditions,Framework & Model,"Ethical and contemplative traditions that emphasize skillful living-applied to relationships through compassion, integrity, presence, and self-knowledge.","Practical wisdom traditions include diverse sources (philosophy, mindfulness, religious and secular ethics, community teachings) that offer tools for regulating emotion, repairing harm, and clarifying values. In sexuality and intimacy, they can support non-shaming reflection and consent-centered behavior. For global audiences, it helps to present traditions inclusively and avoid claiming any single worldview is superior.",Using mindfulness to reduce reactivity during conflict; Applying values clarification to relationship agreements; Practicing compassion-based repair after misunderstandings.,Relationship Dynamics & Intimacy,General,Wisdom traditions are anti-sex; Spiritual ideas can replace consent; One tradition fits everyone; Wisdom language is the same as avoiding real problems.,Non-Harm Principles; Ethical Constraints; State Optimization; Spiritual Sexuality; Reflective Prompts,practical-wisdom; relationship-ethics; mindfulness; values-clarity; global-culture
73,Presence vs Performance,Pattern & Dynamic,"A common tension in intimacy between being present and attuned versus focusing on doing it ""right,"" meeting expectations, or achieving outcomes.","Performance focus often activates arousal brakes (self-monitoring, fear of judgment) and reduces pleasure. Presence emphasizes attention to sensation, connection, and consent in the moment. The distinction is useful for couples across cultures because it reframes many ""technique"" problems as attention and safety problems.","Worrying about orgasm and losing arousal; Feeling more pleasure when attention stays on breath and touch; Shifting from ""am I good enough?"" to ""what feels good right now?""",Pleasure & Sexual Wellbeing,Sensitive,"Performance is always bad and goals are never okay; Presence means ignoring your partner's experience; If you struggle with presence, you are sexually incompatible; Presence will fix all sexual issues instantly.",Performance Anxiety; Embodied Integration; Sexual Confidence; Arousal Brake; Flow States,presence-vs-performance; sexual-anxiety; mindfulness; pleasure; connection
74,Progressive Precision,Framework & Model,"An assessment approach that starts with broad, low-friction questions and gradually increases specificity as trust, clarity, and context build.","Progressive precision reduces overwhelm and improves accuracy by letting users begin with simple signals, then drilling down only where it matters. It is especially useful across cultures and languages, where people may need more time to interpret terms or feel safe answering sensitive topics. The method often pairs with interpretive depth to explain why follow-up questions are being asked.","Starting with a short onboarding survey, then offering optional deep-dive modules; Asking follow-up questions only when a dimension score is ambiguous; Using gentle language first, then more specific examples as the user opts in.",Product & Assessment,General,More questions always means better truth; Progressive precision is the same as being vague; Precision means you can predict relationship outcomes; Users must answer everything for results to be useful.,Soft Survey; Deep Survey; Context-Sensitive Assessments; Interpretive Depth; Longitudinal Check-ins,progressive-precision; adaptive-assessment; onboarding; survey-design; user-trust
75,Psychological Software,Framework & Model,"Learned mental patterns—beliefs, expectations, associations, and memories—that shape how a person experiences desire, arousal, and intimacy.","Psychological software includes sexual scripts, body beliefs, relational expectations, and conditioned turn-ons/turn-offs. It can be updated through new experiences, therapy, education, and supportive relationships, though change is often gradual. This concept helps people look for leverage points beyond “more effort,” such as reducing shame, building safety, and practicing communication.",Someone’s arousal drops when they feel judged because of past criticism; A person learns to enjoy slower touch after practicing mindfulness and requesting pacing; New positive experiences rewrite associations with intimacy after a difficult period.,Emotional & Attachment Patterns,General,"Psychological software is “all in your head” and not real; You can change it instantly with positive thinking; If you have negative scripts, you’re incompatible with partners; Software change means ignoring boundaries or discomfort.",Sexual Script; Attachment Style; Arousal Brake; Emotional Safety; Desire Cues,psychological-software; sexual-scripts; conditioned-arousal; attachment-patterns; sexual-confidence; intimacy
76,Psychometric Infrastructure,Product Artifact,"The tools, processes, and standards used to design surveys, score dimensions, test reliability/validity, and maintain measurement quality over time.","This includes item banks, translation workflows, calibration studies, version control, and monitoring for drift or bias. Strong infrastructure supports geo-ready measurement—so results remain meaningful across different countries, cultures, and languages—while also enabling transparent, explainable scoring.",Item banks for key dimensions; A pipeline that runs reliability checks after updates; A localization process that tests items across languages before release.,"Data, Privacy & Measurement",General,"Psychometrics is only academic and not needed in products; If you have a score, it must be valid; Infrastructure removes the need for user context; Psychometric work guarantees cultural neutrality.",Psychometric Scoring Layer; Likert-Scale Items; Validity; Reliability; Bias,psychometric-infrastructure; survey-science; measurement-quality; validity; reliability; localization
77,Psychometric Scoring Layer,Framework & Model,The part of an assessment system that converts survey answers into measurable dimensions and scores using psychometric methods.,"A scoring layer typically includes item weighting, normalization, reliability checks, and validity considerations. It aims to produce stable, interpretable outputs while minimizing bias and noise. In practice, transparent scoring improves trust and makes results easier to explain to users in different countries and cultures.",Converting multiple questions into a single “sexual confidence” score; Checking reliability before using a scale in a new language; Using normalization so different dimensions can be compared fairly.,"Data, Privacy & Measurement",General,"Scoring is objective and cannot be biased; More complex scoring is always better; Psychometrics replaces human judgment and conversation; If an item is on a survey, it must be accurate.",Validity; Reliability; Bias; Normalized Dimension Values; Likert-Scale Items; Deep Survey,psychometric-scoring; measurement-model; survey-scales; reliability-validity; assessment-design; bias-reduction
78,Quasi-Identifiers,Data & Research Method,"Data fields that don’t identify someone alone but can identify them when combined (e.g., age, city, job title, rare attributes).","Quasi-identifiers are a major driver of re-identification, especially in small populations, small countries/regions, or niche communities. Good governance uses aggregation, coarsening, suppression, and access tiering to reduce risk while preserving research value.","“Age 47, small town, niche profession” uniquely identifies someone; Combining region + uncommon preference flags a person; Removing exact dates and using age ranges reduces risk.","Data, Privacy & Measurement",Sensitive,"Quasi-identifiers are harmless because they aren’t names; If data is aggregated, risk is always gone; Only celebrities can be re-identified; Quasi-identifiers don’t matter if the dataset is “internal.”",Direct Identifiers; Aggregation & Coarsening; Suppression of Rare Combinations; Re-Identification Risk,quasi-identifiers; indirect-identifiers; k-anonymity; privacy-risk; small-populations; data-protection
79,Re-Identification Risk,Metric & Measurement,"The likelihood that a person can be identified from a dataset, directly or indirectly, through linking or inference.","Risk depends on data granularity, uniqueness, available external data, and who has access. It’s dynamic: what’s safe today may be less safe tomorrow as external datasets grow. Strong programs measure and reduce risk using coarsening, suppression, tiered access, and controlled environments.",Linking region + age + rare traits identifies someone; A researcher matches anonymized records to public data; Risk drops after moving from city-level to country-level reporting.,"Data, Privacy & Measurement",General,Anonymized data has no re-identification risk; Risk only matters if someone has bad intentions; Re-identification is impossible without direct identifiers; Risk assessment is one-time and done.,Quasi-Identifiers; Aggregation & Coarsening; Controlled Research Environments; Ethical Constraints,reidentification-risk; privacy-risk; disclosure-risk; data-linkage; gdpr-aligned; governance
80,Reflective Prompts,Practice & Skill,"Short questions or exercises designed to support self-awareness, safer communication, and intentional choices in relationships and sexuality.","Reflective prompts turn insight into action by helping people name needs, fears, turn-ons, and boundaries in approachable language. They can be used solo or with partners and are most effective when they invite curiosity rather than pressure. In geo-diverse settings, prompts should avoid slang, respect values, and offer multiple ways to answer (words, ratings, or examples).","What would make tonight feel safer or more relaxed?; ""What's one thing that helped you feel desired this week?""; ""Is there anything you want to slow down or stop today?""",Sexual Communication & Initiation,Sensitive,Prompts are manipulation; Prompts replace real conversation; Good relationships don't need prompts; Prompts should push people past discomfort to be effective.,Interpretive Depth; Consent Frameworks; Aftercare; Communication Patterns; Embodied Integration,reflective-prompts; conversation-starters; consent-checkins; self-awareness; relationship-skills
81,Relational Loops,Pattern & Dynamic,"Repeating interaction cycles that reinforce closeness or conflict, often without either person consciously choosing the pattern.","Relational loops can be positive (repair, reassurance, playful pursuit) or negative (pursue-withdraw, criticize-defend). They are shaped by attachment needs, stress, and communication habits. Naming the loop helps partners shift from blame (""you are the problem"") to pattern thinking (""we're stuck in a cycle"").","One partner pursues closeness, the other withdraws, which increases pursuit; After conflict, partners avoid sex, which increases distance and more conflict; Quick repair conversations create a loop of safety and reconnection.",Emotional & Attachment Patterns,Sensitive,"A relational loop proves someone is toxic; Loops can't change; The loop is one partner's fault; If you can name the loop once, it disappears.",Feedback Loops; Attachment Style; Emotional Safety; Rejection Sensitivity; Relational Attunement,relational-loops; pursue-withdraw; attachment-patterns; cycle-breaking; couples-dynamics
82,Relationship Form Preference,Need & Preference,"A person’s preferred relationship structure, such as monogamy, non-monogamy, or other commitment styles, based on needs and values.","Relationship form preference is about what feels sustainable and meaningful—not a moral ranking. Preferences can be influenced by culture, religion, community norms, and personal history, and they can also evolve across life stages. Clear communication about expectations (exclusivity, openness, emotional commitment) reduces conflict and supports informed consent in relationship agreements.",A person prefers monogamy with clear exclusivity; Someone prefers consensual non-monogamy with negotiated boundaries; A couple chooses a flexible arrangement during long-distance periods.,Relationship Dynamics & Intimacy,Sensitive,"Preference equals identity and can never change; Non-monogamy means commitment is impossible; Monogamy is always the healthiest option; If partners differ, the relationship must end immediately.",Sexual Script; Boundaries; Consent; Autonomy Need; Relationship Satisfaction; Cultural Mismatch,relationship-form-preference; monogamy; nonmonogamy; relationship-agreements; cross-cultural-relationships; commitment-styles
83,Research-Grade Dataset,Product Artifact,"A curated dataset prepared for high-quality analysis, typically with documentation, validation checks, and clear definitions for variables and scales.","Research-grade datasets emphasize consistency, provenance, and interpretability: codebooks, versioning, missing-data rules, and validation of psychometric measures. For global deployments, “research-grade” also means translation QA, cultural calibration, and bias review so metrics remain comparable across regions and languages.",A dataset with a codebook and validated scale scoring; Versioned releases that track changes in survey items; A multilingual dataset with documented translation and measurement notes.,Product & Assessment,General,Research-grade means error-free; Bigger datasets are automatically better; Research-grade can ignore privacy because it’s for science; A dataset is research-grade without documentation.,Psychometric Infrastructure; Psychometric Scoring Layer; Validity; Reliability; Curated Knowledge Base,research-grade; dataset-quality; codebook; measurement; cross-cultural-research; data-governance
84,Retrieval-Augmented Generation (RAG),Data & Research Method,"A method that improves LLM outputs by retrieving relevant, vetted information from a knowledge base and supplying it to the model during generation.","RAG helps reduce hallucinations and keeps explanations aligned with a product's definitions, policies, and culturally adapted content. It works best when the underlying sources are curated, versioned, and mapped to user context (language, region, relationship type). RAG still needs guardrails and uncertainty handling-retrieval can be incomplete or the wrong passage can be selected.",Pulling glossary definitions into a user report; Retrieving consent and safety guidelines before generating exploration suggestions; Using region-specific examples drawn from localized content.,"Data, Privacy & Measurement",General,"RAG guarantees correctness; RAG removes the need for citations or source governance; If something is retrieved, it must be applicable; RAG fully solves bias and safety risks.",Curated Knowledge Base; LLM Interpretation Layer; Interpretive Depth; Ethical Constraints; Gates / Guardrails,rag; retrieval-augmented-generation; knowledge-retrieval; grounded-answers; product-trust
85,Reward System Recalibration,Practice & Skill,A process of adjusting reward expectations and cue-reactivity so desire and satisfaction rely less on high-intensity novelty and more on sustainable pleasure and connection.,"Recalibration can involve changing inputs (stress, sleep, digital habits), widening what feels rewarding (state-based rewards), and practicing presence and communication. It is not a moral judgment; it is a learning process supported by neural plasticity. In global contexts, recalibration should respect cultural values and avoid shaming language.",Reducing overstimulation so partnered touch feels more rewarding; Rebuilding pleasure after burnout by focusing on safety and slow arousal; Shifting from orgasm-only goals to broader connection and sensation.,Pleasure & Sexual Wellbeing,Sensitive,"Recalibration means quitting sex or desire; It is only about porn; You can reset your reward system instantly; If you need recalibration, you are broken.",Neural Plasticity; Event-Based Reward; State-Based Reward; Presence vs Performance; Evolutionary Mismatch,reward-recalibration; dopamine-balance; sustainable-pleasure; habit-change; libido-health
86,Risk Orientation,Trait & Disposition,"A person’s tendency to prefer more or less risk in dating, intimacy, and sexual exploration, including comfort with uncertainty and novelty.","Risk orientation influences how quickly someone escalates intimacy, experiments with new activities, or shares vulnerable information. It can be shaped by personality, culture, past experiences, and safety cues in a relationship. Couples often do best when they can negotiate pace differences without shaming either the cautious or adventurous partner.",One partner wants to try new experiences early while the other prefers gradual steps; Someone prefers very clear agreements before intimacy; A person enjoys spontaneous plans but needs strong privacy and safety boundaries.,Relationship Dynamics & Intimacy,General,High risk orientation means someone is irresponsible; Low risk orientation means someone is prudish; Risk orientation is fixed and cannot change; Risk orientation is the same as consent willingness.,Boundaries; Consent; Curiosity & Exploration Orientation; Taboo Curiosity; Routine Comfort; Arousal Brake,risk-orientation; intimacy-pacing; novelty-vs-safety; relationship-negotiation; global-dating; consent-boundaries
87,Sexual Architecture,Framework & Model,"A structured view of sexuality that maps how biology, learning, emotions, values, and context interact to shape desire, arousal, and intimacy choices.","This “architecture” framing helps people troubleshoot without blame: a challenge might be hardware (sleep, pain), software (scripts, shame), relational (trust, conflict), or cultural (norms, taboo). It supports clearer, geo-friendly education because it’s adaptable across cultures and life stages while keeping consent and wellbeing central.","Identifying that stress (state) is the main brake, not attraction; Separating cultural scripts from personal preferences; Designing context changes (privacy, pacing) to support arousal.",Desire & Arousal,Sensitive,"Having a model means you can predict everything; Sexual architecture is the same for everyone; Biology overrides values and consent; If you map it, you can “fix” a partner.",Hardware–Software Framework; Dual Control Model of Sexual Response; Social Software; Psychological Software,sexual-architecture; biopsychosocial; desire-model; arousal-context; sexual-wellbeing; cross-cultural
88,Sexual Confidence,Trait & Disposition,"A person’s sense of comfort, capability, and self-trust in sexual situations, including communicating needs and receiving feedback.","Sexual confidence is not the same as experience; it often grows through safety, positive communication, and body acceptance. Low confidence can be linked to performance anxiety, shame scripts, or negative experiences, and it can improve with education and supportive partners. Healthy confidence includes the ability to say no, ask for what you want, and tolerate learning curves.",Someone asks for slower touch without apologizing; A person feels comfortable discussing turn-ons and boundaries; Confidence improves after learning anatomy and consent skills.,Pleasure & Sexual Wellbeing,Sensitive,Confidence means you never feel nervous; Confident people always want sex; Confidence is fixed and you either have it or you don’t; Confidence equals being “good in bed.”,Sexual Self-Efficacy; Body Image Impact; Consent; Turn-On Cues; Arousal Brake,sexual-confidence; sexual-self-esteem; performance-anxiety; sex-communication; pleasure-skills; body-acceptance
89,Sexual Diversity,Identity & Orientation,"The recognition that human sexuality varies widely across orientations, identities, bodies, desires, and relationship styles, without treating difference as dysfunction.","Sexual diversity includes differences in attraction patterns, arousal styles, gender identities, relationship forms, and levels of sexual interest. A diversity lens reduces stigma and supports culturally respectful care by avoiding one-size-fits-all norms. In practice, it emphasizes consent, autonomy, and accurate information over moral judgment.",Recognizing asexuality as a valid orientation; Respecting different relationship forms when consensual; Normalizing that arousal triggers vary by person and life stage.,Identity & Attraction,Sensitive,"Diversity means anything goes without consent; Sexual diversity is a trend or ideology, not real; Differences must be ""fixed"" to be healthy; Diversity means partners should tolerate boundary violations.",Identity & Orientation; Relationship Form Preference; Arousal Style; Sexual Script; Consent,sexual-diversity; orientation-spectrum; inclusive-sex-ed; stigma-reduction; global-wellbeing
90,Sexual Excitation System (SES),Framework & Model,"The part of the Dual Control Model describing the mechanisms that increase sexual arousal in response to stimulating cues, context, and meaning.","SES includes what a person’s brain and body interpret as “erotic accelerators,” such as novelty, attraction, safety, or specific fantasies. Excitation is highly individual and can shift with stress, relationship dynamics, and culture. Understanding your SES supports better communication about what helps you get in the mood.",A person becomes more aroused with playful flirting and anticipation; Erotic stories or visual novelty increase arousal; Feeling emotionally connected and safe makes touch feel more exciting.,Desire & Arousal,General,"High SES means you’re “hypersexual”; SES is the same as sexual desire in all contexts; If your partner’s SES differs, you are incompatible; SES is fixed and cannot change.",Dual Control Model of Sexual Response; Arousal Accelerator; Arousal Map; Responsive Arousal; Desire Cues,sexual-excitation-system; ses; dual-control-model; arousal-accelerators; desire-cues; sexual-response
91,Sexual Inhibition System (SIS),Framework & Model,"The part of the Dual Control Model describing the mechanisms that reduce sexual arousal when the brain detects risk, discomfort, or lack of safety.","SIS reflects “erotic brakes,” such as worry about performance, fear of judgment, feeling unsafe, or practical concerns (privacy, time, stress). Inhibition can be protective, and high inhibition does not mean low attraction. Identifying specific brakes helps partners design contexts that support comfort and consent.",A person loses arousal when they feel rushed or overheard; Stress about body image makes it hard to stay present; Conflict earlier in the day makes touch feel less welcome.,Desire & Arousal,General,"If you have a strong SIS, you don’t love your partner; Inhibition is purely psychological and can be “willed away”; SIS is always bad and should be removed; Arousal problems are only about attraction, not brakes.",Dual Control Model of Sexual Response; Arousal Brake; Consent; Arousal Window; Emotional Safety,sexual-inhibition-system; sis; dual-control-model; arousal-brakes; sexual-anxiety; safety-cues
92,Sexual Self-Actualization,State & Experience,"A growth-oriented state where a person’s sexuality is integrated with their values, boundaries, self-knowledge, and consent-centered relationships.","Self-actualization in sexuality doesn’t mean constant desire or perfect performance; it means clarity, integrity, and the ability to pursue pleasure and connection in ways that are safe and aligned. It can be expressed differently across cultures (privacy, spirituality, partnership norms) while keeping autonomy, consent, and non-harm central.",Feeling confident naming needs and boundaries; Choosing relationship forms that fit your values; Experiencing pleasure with less shame and more self-trust over time.,Pleasure & Sexual Wellbeing,Sensitive,"Self-actualization means being “more sexual”; It requires a specific lifestyle or relationship style; It’s selfish or incompatible with commitment; Once achieved, it never changes.",Guided Self-Understanding; Agency (Intentional Growth); Ethical Constraints; Spiritual Sexuality; Optimal Sexual States,sexual-self-actualization; sexual-growth; self-acceptance; consent-first; pleasure-and-values; global-wellbeing
93,Sexual Shadow,State & Experience,"The set of sexual desires, fantasies, or impulses a person disowns, suppresses, or judges—often because they conflict with identity, values, or social norms.","Sexual shadow work is about bringing curiosity and compassion to hidden or “unacceptable” parts of desire without acting them out in harmful ways. For many people, the shadow contains taboo themes, power fantasies, or contradictions that feel scary to name. Exploring it safely can reduce shame, improve consent clarity, and support healthier erotic self-knowledge.",Someone feels aroused by a fantasy but worries it says something “bad” about them; A person hides interest in kink from partners out of fear of judgment; Feeling attracted to a type of dynamic you don’t want in real life and learning to separate fantasy from action.,"Fantasy, Kink & Exploration",Highly Sensitive,Your fantasies reveal your real-world intentions; Having a sexual shadow means you are unsafe; Shadow exploration requires acting out taboo fantasies; The shadow disappears once you talk about it once.,Fantasy; Kink Curiosity; Fantasy Comfort; Fantasy Boundaries; Consent,sexual-shadow; erotic-fantasy; kink-psychology; sexual-shame; fantasy-vs-reality; self-acceptance
94,Sexual Signature,Trait & Disposition,"An individual’s characteristic pattern of arousal triggers, turn-ons/turn-offs, emotional needs, and preferred dynamics that tends to repeat across relationships and contexts.","A sexual signature can include sensory preferences (touch, pace), psychological themes (novelty, reassurance), and relational conditions (safety, privacy). It’s not fixed—plasticity and life stages can shift it—but it often has recognizable “core notes.” Clarifying your signature supports healthier communication and reduces mismatched expectations.",Someone needs emotional closeness before physical desire kicks in; A person is reliably turned on by playful teasing and anticipation; Privacy and time are essential conditions for arousal to build.,Desire & Arousal,Sensitive,"A sexual signature is your sexual identity; If your signature differs from a partner’s, you can’t have a good sex life; Your signature should stay the same over time; Knowing your signature removes the need for consent check-ins.",Arousal Map; Desire Cues; Responsive Desire; Spontaneous Desire; Arousal Window,sexual-signature; arousal-patterns; turn-ons; libido-style; relationship-communication; sexual-self-knowledge
95,Sexual Tabooization,Expectation & Norm,"The social process of marking sex, desire, or sexual topics as “unmentionable,” shameful, or inappropriate, making open learning and communication harder.","Tabooization can be subtle (avoiding words, jokes, or questions) or explicit (punishment, censorship, moral condemnation). It often increases misinformation and anxiety by pushing curiosity underground, and it can differ widely across regions, generations, and subcultures. Reducing taboo doesn’t mean removing values—it means making space for respectful, accurate conversations about consent, health, and pleasure.",A family that treats all sexual questions as disrespectful; Someone avoiding medical care because talking about sex feels embarrassing; Partners never discussing turn-ons or boundaries because it feels “awkward” or “dirty.”,Pleasure & Sexual Wellbeing,General,"Tabooization is the same as having personal boundaries; Talking about sex openly automatically leads to risky behavior; Only religious communities have sexual taboos; If sex is taboo in your culture, communication is impossible.",Sexual Script; Fantasy Disclosure; Kink Disclosure; Consent; Boundaries,sexual-taboos; sexual-shame; sex-communication; cultural-norms; pleasure-literacy; stigma
96,Signal Mismatch,Pattern & Dynamic,"A breakdown where one person’s sexual or relational signals are interpreted differently by another person, leading to confusion about interest, consent, or pacing.","Signal mismatch often happens when partners have different cultural scripts, different initiation styles, or different assumptions about what counts as “yes,” “maybe,” or “not now.” It can also appear in digital communication where tone is missing. Reducing mismatch usually involves explicit check-ins, clearer consent language, and naming preferred cues.",Playful teasing is read as rejection; A partner thinks silence means consent while the other needs a clear verbal yes; Text messages feel cold to one partner and neutral to the other.,Sexual Communication & Initiation,Sensitive,"Signal mismatch means someone is intentionally misleading; If signals are unclear, you should push harder; Miscommunication only happens in new relationships; Consent can be assumed if there is attraction.",Consent; Boundaries; Turn-On Cues; Turn-Off Cues; Cultural Mismatch; Initiation & Communication Style,signal-mismatch; miscommunication; consent-checkin; sexual-cues; relationship-clarity; cross-cultural
97,Similarity-Based Scoring,Data & Research Method,A scoring method that estimates how close two profiles are (person–person or person–prototype) using similarity or distance measures.,"Similarity scoring often uses cosine similarity, Euclidean distance, or related metrics on normalized vectors. The method is useful for ranking matches and generating explanations like “you overlap on communication and boundaries.” It should be paired with uncertainty reporting and guardrails so users don’t over-trust a single number.",Ranking potential matches by shared values and intimacy pacing; Matching users to archetype prototypes using vector similarity; Explaining a high score by highlighting top shared dimensions.,"Data, Privacy & Measurement",General,"A single similarity score guarantees relationship success; Similarity is always better than complementarity; Similarity scoring is neutral and cannot encode bias; If similarity is low, communication is pointless.",Dimension Vector (Coordinate Vector); Normalized Dimension Values; Dimension Weights; Compatibility Engine; Validity,similarity-scoring; matching-score; cosine-similarity; distance-metrics; compatibility-algorithm; explainable-ai
98,Social Software,Expectation & Norm,"The social rules, norms, and roles a person learns about dating, gender, commitment, and sexuality, which shape what feels “allowed” or “expected.”","Social software differs across countries, communities, and generations and can create pressure or confusion when partners run different “operating systems.” It influences consent language, initiation patterns, and assumptions about exclusivity and pleasure. Making social software explicit reduces misunderstanding and supports respectful negotiation.","One partner expects indirect initiation while the other prefers explicit asking; A couple assumes different meanings of “being serious” based on social norms; Someone feels they must perform a role (e.g., always initiating) even when it doesn’t feel authentic.",Relationship Dynamics & Intimacy,General,"Social software is the same as personal values; If norms are “traditional,” they’re always harmful or always right; Partners should automatically know each other’s social expectations; Social software can’t change.",Sexual Script; Relationship Form Preference; Boundary Setting; Consent; Desire Discrepancy,social-software; relationship-norms; dating-scripts; consent-culture; communication-styles; cultural-variation
99,Softmax Normalization,Data & Research Method,"A mathematical transformation that converts a set of raw scores into probabilities that sum to 1, often used to model “likelihood” across multiple archetypes or options.","Softmax emphasizes relative differences: the highest score becomes the most likely outcome, but all options receive some probability unless gated. Temperature or sharpness parameters can make the distribution more decisive or more spread out. For user-facing products, explainability matters because probabilities can feel overly certain.",Converting archetype match scores into a ranked probability list; Making results more or less decisive by adjusting a sharpness parameter; Presenting top 3 archetypes with probabilities plus confidence notes.,"Data, Privacy & Measurement",General,Softmax outputs are absolute truth; Probabilities are the same as guarantees; Softmax removes bias; The highest probability means no other option fits.,Archetype Probability Distribution; Distribution “Sharpness”; Similarity-Based Scoring; Normalized Dimension Values,softmax; probability-normalization; machine-learning; archetype-matching; confidence; explainable-results
100,Somatic Integration,Practice & Skill,"A skill of noticing body sensations and using them to align choices, consent, and intimacy with what feels safe, present, and responsive.","Somatic integration bridges cognition and sensation: people learn to track breathing, tension, warmth, and emotional shifts while communicating needs. It can improve pleasure and reduce overwhelm by helping partners slow down, adjust pacing, and stay connected. The practice is adaptable across cultures because it focuses on internal signals rather than any single sexual “right way.”",Pausing during intimacy to check body tension and ask for slower touch; Using breathing and grounding to stay present when anxious; Noticing numbness and choosing to stop or switch activities without shame.,Pleasure & Sexual Wellbeing,Sensitive,"Somatic integration is only for trauma; If you track sensations, sex becomes less spontaneous; Body awareness should override verbal consent; Somatic work replaces medical care when symptoms persist.",Aftercare; Consent; Arousal Window; Emotional Safety; Cognitive and Somatic Dissonance,somatic-integration; body-awareness; nervous-system-regulation; consent-check-in; pleasure-skills; intimacy
101,Somatic Sexology,Data & Research Method,"An approach to sex education and therapy that integrates body-based awareness, nervous-system regulation, and communication to support pleasure and sexual wellbeing.","Somatic sexology emphasizes felt experience (sensation, breath, pacing) alongside consent and relational context. It often uses exercises to build arousal awareness, reduce shame, and expand pleasure capacity in a gentle, trauma-informed way. Practices vary by practitioner and country, so it’s important to prioritize ethical, consent-centered approaches.",Guided exercises to notice sensation and communicate pacing; Learning to identify accelerators and brakes through body cues; Practicing grounding and aftercare to support emotional safety around exploration.,Pleasure & Sexual Wellbeing,Sensitive,Somatic sexology is a specific licensed profession everywhere; It requires sexual touch with a practitioner; Somatic approaches replace medical treatment; It’s only for people with “problems.”,Somatic Integration; Dual Control Model of Sexual Response; Arousal Map; Consent; Aftercare,somatic-sexology; sex-therapy; body-based-practice; pleasure-education; nervous-system; consent
102,Spiritual Sexuality,Identity & Orientation,"An experience of sexuality connected to spirituality, meaning, devotion, or transcendence, expressed in ways that remain consensual and values-aligned.","Spiritual sexuality can be religious, secular, or philosophical. For some, it involves mindfulness, ritual, breathwork, or a sense of sacred connection; for others, it is simply meaning and reverence within intimacy. Across cultures, it works best when it avoids superiority claims and keeps consent, autonomy, and boundaries central.","Using mindful breathing and eye contact to deepen connection; Creating a consensual ritual for intimacy (music, prayer, intention-setting); Feeling sexuality as a source of meaning and bonding rather than performance.",Pleasure & Sexual Wellbeing,Sensitive,"Spiritual sex is superior to ""normal"" sex; Spirituality replaces consent and boundaries; Spiritual sexuality requires a specific religion or practice; If sex isn't spiritual, it is shallow.",Practical Wisdom Traditions; Embodied Integration; Flow States; Emotional Intimacy; Aftercare,spiritual-sexuality; mindful-intimacy; sacred-connection; meaning; global-traditions
